_RAJ2000,_DEJ2000,Name,MassBH,E_MassBH,e_MassBH,sigma,e_sigma,MassB,e_MassB,Mass*
185.8955825,6.0817964,NGC 4339                ,4.3,3,3,95,9,     ,     ,10.2
156.8266103,28.507395,NGC 3245                ,24,3,8,205,10,10.69,0.09,10.8
189.9831436,10.1761625,NGC 4596                ,7.7,3.3,3.3,136,6,     ,     ,10.7
189.9831436,10.1761625,NGC 4596                ,7.7,3.3,3.3,136,6,     ,     ,10.7
145.6387161,-3.6991772,NGC 2974                ,17,3.6,3.6,227,11,     ,     ,10.9
68.2962319,5.3543386,3C 120                  ,5.25,3.66,2.16,162,20,     ,     ,    
169.2277375,18.0518083,NGC 3607                ,14,4,5,229,11,     ,     ,11.2
189.9976328,-11.6230544,NGC 4594                ,66,4,4,240,12,11.47,0.09,11.4
79.0475386,-0.1497658,Akn 120                 ,14.1,4.07,3.16,221,17,     ,     ,    
162.8175414,27.9750828,NGC 3414                ,25,4.1,4.1,205,9,     ,     ,11
22.8363467,-6.8679917,NGC 0584                ,13,5,5,189,5,     ,     ,10.9
192.1495756,-5.8006894,NGC 4697                ,20,5,5,177,8,10.97,0.09,10.9
170.27855,3.2347639,NGC 3640                ,7.7,5,5,176,8,     ,     ,11.1
187.4536583,13.4293194,NGC 4473                ,9,5,4.5,190,9,10.85,0.09,10.8
151.3080294,-7.7186064,NGC 3115                ,90,5,28,230,11,10.92,0.09,10.9
14.1356706,-1.7719906,NGC 0307                ,40,5.5,5.5,204,3,     ,     ,10.9
188.9158639,12.5563419,NGC 4552                ,50,5.9,5.9,251,12,     ,     ,10.9
53.8191192,-35.2262675,NGC 1374                ,59,6,5,167,3,10.65,0.09,10.6
138.0812375,-24.1726,NGC 2784                ,10,6,6,188,8,     ,     ,10.7
179.8545478,50.9616531,NGC 4026                ,18,6,4,180,9,10.33,0.09,10.5
215.2653792,3.27105,NGC 5576                ,27,7,8,183,9,11,0.09,10.9
49.9210258,-19.4111633,NGC 1300                ,7.6,7.4,3.7,88,3,9.84,0.1,10.9
190.5094089,11.6469194,NGC 4621                ,40,7.9,7.9,224,10,     ,     ,11.1
179.4838892,55.4535894,NGC 3998                ,84,8,6,275,7,10.67,0.09,10.6
319.7511903,-48.5621425,NGC 7049                ,32,8,8,245,8,     ,     ,11.4
32.0880661,10.9949533,NGC 821                 ,16,8,6.8,209,10,10.98,0.09,10.9
185.0896861,5.3864414,NGC 4281                ,54,8,8,227,11,     ,     ,10.9
